Region,Site,Lat,Lon,coreNo,soilNo,bpCntr,bpMOE,rcybpCntr,rcybpMOE,event,subsidence,Uncertainty,source,quality,method
Oregon,Siletz Bay ,44.888,123.996,,5,,,,,T6,0.35,0.3,"21,27",3,rm ac; slpm be
Oregon,Siletz Bay ,44.888,123.996,,6,3052.5,263.5,2880,90,T7,0.82,0.45,"21,27",3,"Triglochin, m ac; pm be (via 7 cm sd)"
Oregon,Yaquina Bay,44.624,124.001,YB-9,1,,,,,T1,0.3,0.5,28,3,slpm ac; pm be (via 5 cm sd)
Oregon,Yaquina Bay,44.618,124.045,YB-13,1,,,,,T1,0.31,0.5,"10,28",3,slpm ac; pm be (via 6 cm sd)
Oregon,Yaquina Bay,44.613,124.042,HF-1,1,,,,,T1,0.08,0.5,"10,20,28",2,"rm, 14% org, mostly br. diatoms ac; rm, 13% org, mostly br. diatoms be (via 8 cm sd)"
Oregon,Yaquina Bay,44.612,124.04,Hatfield 2,1,148,148,160,60,T1,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.612,124.04,,2,1159,147,1270,70,T4,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.612,124.035,YB-1,1,,,,,T1,0.3,0.5,28,3,slpm ac; pm be (via 5 cm sd)
Oregon,Yaquina Bay,44.602,124.024,YB-5,1,,,,,T1,0.32,0.5,28,3,pm ac; p be (via 2 cm sd)
Oregon,Yaquina Bay,44.597,124.021,YB-6,1,,,,,T1,0.27,0.4,28,3,slpm ac; pm be (via 2 cm sd)
Oregon,Yaquina Bay,44.596,123.92,Toledo 2,1,,,,,T2,0.25,0.3,21,3,pm ac; mp be
Oregon,Yaquina Bay,44.595,124.009,YB-10,1,,,,,T1,0.28,0.4,28,3,slpm ac; pm be (via 3 cm sd)
Oregon,Yaquina Bay,44.595,124.032,YB-3,1,,,,,T1,0.33,0.4,28,3,slpm ac; pm be (via 8 cm sd)
Oregon,Yaquina Bay,44.595,123.917,Conser 2,1,,,,,T2,0.25,0.3,21,3,slpm ac; pm be
Oregon,Yaquina Bay,44.595,123.903,OC-A,1,,,,,T1,0.85,0.4,21,3,m ac; pm be
Oregon,Yaquina Bay,44.595,123.903,,2,582.5,82.5,550,70,T2,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.594,123.907,Slack 5,1,,,,,T4,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.594,123.907,,2,,,,,T5,0.4,0.4,21,3,m ac; rm be
Oregon,Yaquina Bay,44.594,123.907,,3,,,,,T6,0.4,0.4,21,3,m ac; rm be
Oregon,Yaquina Bay,44.593,124.032,YB-2,1,,,,,T1,0.05,0.5,28,3,pm ac; pm be (via 5 cm sd)
Oregon,Yaquina Bay,44.593,123.91,Slack 3,1,,,,,T5,0.4,0.4,21,3,m ac; rm be
Oregon,Yaquina Bay,44.593,123.91,,2,,,,,T6,0.4,0.4,21,3,m ac; rm be
Oregon,Yaquina Bay,44.593,123.91,,3,,,,,T6a,0.4,0.4,21,3,m ac; rm be
Oregon,Yaquina Bay,44.592,123.91,Slack 1,1,1262,121,1350,60,T4,0.85,0.4,21,3,m ac; pm be
Oregon,Yaquina Bay,44.592,123.91,,2,1591.5,185.5,1680,70,T5,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.592,123.91,,3,2578.5,209.5,2570,60,T6,0.4,0.4,21,3,m ac; rm(sand?) be
Oregon,Yaquina Bay,44.592,123.91,,4,2913,157,2780,70,T6a,0.55,0.4,21,3,rm(sand?) ac; pm be (via 25 cm sd)
Oregon,Yaquina Bay,44.592,123.91,,5,,,,,T7,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.592,123.91,,6,3370,205,3160,80,T7a,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.592,123.91,,7,3485.5,218.5,3260,90,T8,0.85,0.4,21,3,m ac; pm be
Oregon,Yaquina Bay,44.592,123.91,,8,3893.5,253.5,3580,90,T8a,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.592,123.91,,9,4211.5,214.5,3840,70,T9,0.6,0.4,21,3,m ac; slpm be
Oregon,Yaquina Bay,44.589,124.011,YB-11,1,,,,,T1,0.37,0.4,28,3,rm ac; pm be (via 7 cm sd)
Oregon,Yaquina Bay,44.577,124.006,YB-12,1,,,,,T1,0.54,0.4,28,3,rm ac; mp be (via 4 cm sd)
Oregon,Yaquina Bay,44.576,124.01,OC1,1,,,,,T1,0.85,0.4,21,3,m ac; pm be
Oregon,Yaquina Bay,44.573,123.97,YB-14,1,,,,,T1,0.53,0.4,"10,28",3,rm ac; mp be (via 3 cm sd)
Oregon,Yaquina Bay,44.57,124.008,Oysterville 1,1,,,,,T1,0.85,0.4,21,3,m ac; pm be
Oregon,Yaquina Bay,44.57,124.009,OC 3,1,,,,,T1,0.25,0.3,21,3,slpm ac; pm be
Oregon,Yaquina Bay,44.56,124,Oysterville 4,1,,,,,T1,0.4,0.4,21,3,m ac; rm be
Oregon,Alsea Bay,44.432,124.027,V1,1,153.5,153.5,188,50,T1,0.4,0.2,29,1,transfer function analysis of forams and diatoms from max dates
Oregon,Alsea Bay,44.432,124.027,,2,775,75,809,46,T3,0.4,0.2,29,1,transfer function analysis of forams and diatoms est'd age from limiting dates
Oregon,Alsea Bay,44.432,124.027,,3,1240,190,1360,90,T4,0.4,0.2,29,1,transfer function analysis of forams and diatoms from max dates
Oregon,Alsea Bay,44.432,124.027,,4,1555,105,1615,85,T5,0.2,0.2,29,1,transfer function analysis of forams and diatoms est'd age from limiting dates
Oregon,Alsea Bay,44.42,124.015,AB19,1,,,,,T1,1.15,0.4,30,3,rm ac; mp be
Oregon,Alsea Bay,44.42,124.015,,2,,,,,T2,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.42,124.015,,3,,,,,T3,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.419,124.015,AB9,1,145,145,160,50,T1,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.419,124.015,,2,487,159,480,60,T2,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.419,124.015,,3,742.5,173.5,800,80,T3,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.419,124.015,,4,,,,,T4,0.45,0.35,30,3,slpm ac; pm be
Oregon,Alsea Bay,44.419,124.015,,5,1414,134,1490,80,T5,0.2,0.3,30,3,rm ac; slpm be
Oregon,Alsea Bay,44.419,124.015,,6,2177,174,2210,80,T5b,0.35,0.3,30,3,m ac; slpm be
Oregon,Alsea Bay,44.419,124.015,,7,2679,186,2620,60,T6,0.35,0.3,30,3,m ac; slpm be
Oregon,Alsea Bay,44.419,124.015,,8,3051,200,2890,70,T6a,0.6,0.5,30,3,m ac; pm be
Oregon,Alsea Bay,44.419,124.015,,9,,,,,T7,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.419,124.015,,10,3355.5,109.5,3140,50,T7a,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.419,124.015,,11,5159.5,284.5,4510,80,T10R1,0.6,0.5,30,3,m ac; pm be
Oregon,Alsea Bay,44.418,124.015,AB8,1,,,,,T2,0.75,0.45,30,3,pm ac; mp be
Oregon,Alsea Bay,44.418,124.015,,2,,,,,T3,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.418,124.035,AB18,1,,,,,T1,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.418,124.027,AB4,1,,,,,T1,0.2,0.3,30,3,rm ac; slpm be
Oregon,Alsea Bay,44.418,124.013,AB16,1,,,,,T1,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.417,124.013,AB5,1,,,,,T1,1.15,0.4,30,3,rm ac; mp be
Oregon,Alsea Bay,44.415,124.04,AB7,1,,,,,T1,0.45,0.35,30,3,rm ac; pm be
Oregon,Alsea Bay,44.413,123.988,AB13,1,,,,,T1,0.2,0.3,30,3,rm ac; slpm be
Oregon,Alsea Bay,44.413,124.017,AB17,1,,,,,T1,1.15,0.4,30,3,rm ac; mp be
Oregon,Siuslaw River,44.002,123.993,216,1,577,88,540,70,T2,0.55,0.45,31,3,pm ac; mp be
Oregon,Siuslaw River,44.002,123.993,,2,1212,129,1320,60,T3a,1.1,0.5,31,3,m ac; mp be
Oregon,Siuslaw River,44.002,123.993,,3,1432.5,130.5,1540,70,T4,0.9,0.6,31,3,slpm ac; p be
Oregon,Siuslaw River,44.002,123.993,,4,1395.5,124.5,1450,70,T4a,0.9,0.6,31,3,slpm ac; p be
Oregon,Siuslaw River,44.002,123.993,,5,1835,200,1910,70,T5,0.5,0.4,31,3,mp ac; p be
Oregon,Siuslaw River,43.983,124.013,,5,1804.5,190.5,1880,80,T5,0.55,0.45,31,3,pm ac; mp be
Oregon,Siuslaw River,43.964,124.056,,7,1987.5,163.5,2024,69,T5a,0.5,0.4,32,3,mp ac; p be
Oregon,Siuslaw River,43.964,124.056,,8,1924.5,186.5,1967,66,T5a,0.7,0.6,32,3,pm ac; p be
Oregon,Siuslaw River,43.964,124.056,,4,1454,111,1569,54,T4a,0.7,0.6,32,3,pm ac; p be
Oregon,Umpqua River ,43.729,124.025,337,1,2144,194,2150,80,T5b,0.8,0.5,31,3,slpm ac; mp be
Oregon,Umpqua River ,43.729,124.025,,2,3360,195,3140,70,T7a,0.8,0.5,31,3,slpm ac; mp be
Oregon,Umpqua River ,43.716,124.119,326,1,,,,,T1,0.5,0.5,31,3,slpm ac; pm be
Oregon,Umpqua River ,43.715,124.118,327,1,,,,,T1,0.5,0.5,31,3,slpm ac; pm be
Oregon,Umpqua River ,43.708,124.11,331,1,,,,,T1,0.55,0.45,31,3,pm ac; mp be
Oregon,Umpqua River ,43.705,124.07,312,1,,,,,T1,0.55,0.45,31,3,pm ac; mp be
Oregon,Umpqua River ,43.682,124.002,322,1,,,,,T3a,1.1,0.5,31,3,m ac; mp be
Oregon,Umpqua River ,43.682,124.002,,2,,,,,T6a,0.55,0.45,31,3,m ac; pm be
Oregon,Umpqua River ,43.682,124.002,,3,,,,,T7,0.5,0.5,31,3,slpm ac; pm be
Oregon,Umpqua River ,43.682,124.002,332,1,1157.5,177.5,1270,90,T3a,1.1,0.5,31,3,m ac; mp be
Oregon,Umpqua River ,43.682,124.002,,2,2964,192,2820,70,T6a,0.55,0.45,31,3,m ac; pm be
Oregon,Umpqua River ,43.682,124.002,,3,3143.5,185.5,2960,60,T7,0.5,0.5,31,3,slpm ac; pm be
Oregon,Umpqua River ,43.677,124.085,301,1,,,,,T1,0.55,0.45,31,3,pm ac; mp be
Oregon,Umpqua River ,43.677,124.085,,2,418.5,106.5,400,60,T2,0.5,0.5,"10,31",3,slpm ac; pm be
Oregon,Umpqua River ,43.676,124.085,302,1,,,,,T1,0.55,0.45,31,3,m ac; pm be
Oregon,Umpqua River ,43.675,124.062,321,1,,,,,T1,0.59,0.45,31,3,m ac; pm (via 4 cm detritus) be
Oregon,Umpqua River ,43.675,124.062,,2,1348.5,169.5,1420,80,T4,0.7,0.6,31,3,pm ac; p be
Oregon,Umpqua River ,43.672,124.168,339,1,932,138,1040,60,T3,0.02,0.5,31,3,p ac; p be (via 2 cm sd)
Oregon,Umpqua River ,43.672,124.168,,2,1542,152,1630,60,T4a,1.1,0.5,31,3,slpm ac; p be (via 7 cm sd; 3 cm detritus)
Oregon,Umpqua River ,43.672,124.168,,3,1772,153,1850,60,T5,1.1,0.5,31,3,slsm ac; p be
Oregon,Umpqua River ,43.697,124.09,SF-06,1,,,,,T1,0.55,0.45,32,3,pm ac; mp be
Oregon,Umpqua River ,43.696,124.091,SF-05,1,,,,,T1,0.5,0.5,32,3,rm ac; pm be
Oregon,Umpqua River ,43.696,124.091,SF-03,1,,,,,T1,0.5,0.4,32,3,mp ac; p be
Oregon,Coos Bay,43.488,124.219,,4,,,,,T5a,0.9,0.6,32,3,rm ac; p be
Oregon,Coos Bay,43.488,124.219,,4,1910.5,195.5,1948,75,T5a,1.2,0.6,32,3,m ac; p be
Oregon,Coos Bay,43.488,124.219,,2,1401.5,117.5,1462,68,T4,1.2,0.6,32,3,m ac; p be
Oregon,Coos Bay,43.484,124.208,476,1,1686,239,1780,90,T5,0.8,0.5,31,3,slpm ac; mp be (top - 50 cm of core not recovered)
Oregon,Coos Bay,43.484,124.208,,2,1876.5,169.5,1930,70,T5a,0.9,0.6,31,3,slpm ac; p be
Oregon,Coos Bay,43.483,124.16,448,1,1719.5,150.5,1800,60,T5,0.8,0.5,31,3,slpm ac; mp be
Oregon,Coos Bay,43.483,124.16,,2,,,,,T5a,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.483,124.16,,3,,,,,T6,0.7,0.6,31,3,pm ac; p be
Oregon,Coos Bay,43.483,124.16,,4,2997,242,2830,100,T7,0.55,0.45,31,3,pm ac; mp be
Oregon,Coos Bay,43.464,124.193,HI-07,1,,,,,T1,0.5,0.4,32,3,mp ac; p be
Oregon,Coos Bay,43.464,124.193,,2,,,,,T2,0.55,0.45,32,3,"pm, roots, herbs ac; mp, roots, herbs be"
Oregon,Coos Bay,43.464,124.193,HI-06,1,,,,,T1,0.5,0.4,32,3,mp ac; p be
Oregon,Coos Bay,43.464,124.193,,2,628.5,101.5,660,80,T2,0.55,0.45,32,3,pm ac; mp be
Oregon,Coos Bay,43.464,124.193,HI-04,1,,,,,T1,0.8,0.5,32,3,rm ac; mp be
Oregon,Coos Bay,43.464,124.193,,2,,,,,T2,0.55,0.45,32,3,pm ac; mp be
Oregon,Coos Bay,43.431,124.168,449,1,920.5,131.5,1000,50,T3,0.8,0.5,31,3,slpm ac; mp be (~ 50 cm missing from top of core)
Oregon,Coos Bay,43.431,124.168,,2,1292.5,112.5,1390,60,T4,0.8,0.5,31,3,"slpm ac, mp be"
Oregon,Coos Bay,43.431,124.168,,3,1708,155,1780,60,T5,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.393,124.233,,2,908,163,1020,70,T3,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.393,124.233,,3,1345,173,1400,80,T4,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.393,124.233,,4,1576.5,201.5,1660,80,T5,0.8,0.5,31,3,"slpm ac, mp be"
Oregon,Coos Bay,43.393,124.233,,5,3085,235,2900,80,T7,0.9,0.5,31,3,"slpm ac, mp be (via - 10 cm sd)"
Oregon,Coos Bay,43.393,124.233,,6,4092.5,312.5,3700,90,T8a,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.358,124.083,,2,1926,189,1970,70,T5a,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.358,124.083,,3,3262,181,3080,60,T7,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.346,124.302,436,1,,,,,T1,1.1,0.6,31,3,slpm ac; p be (via 5 cm sd; 15 cm detritus)
Oregon,Coos Bay,43.345,124.302,435,1,,,,,T1,1.07,0.6,31,3,slpm ac; p be (via 10 cm sd; 7 cm detritus)
Oregon,Coos Bay,43.342,124.312,403,1,,,,,T1,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.335,124.303,Joe Ney 7,1,,,,,T1,0.5,0.5,10,3,rm ac; pm be
Oregon,Coos Bay,43.333,124.315,,1,,,,,T1,0.9,0.27,23,1,Foram transfer function analysis
Oregon,Coos Bay,43.329,124.375,462,1,,,,,T1,1.1,0.5,31,3,m ac; mp be (# soils aboce T9=# soils in S. Coos age compilation)
Oregon,Coos Bay,43.329,124.375,,2,,,,,T2,0.8,0.5,31,3,slpm ac; mp be
Oregon,Coos Bay,43.329,124.375,,3,,,,,T3,0.9,0.6,31,3,slpm ac; p be
Oregon,Coos Bay,43.329,124.375,,4,,,,,T4,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.329,124.375,,5,,,,,T5,1.2,0.6,31,3,m ac; p be
Oregon,Coos Bay,43.329,124.375,,6,,,,,T5a,1.2,0.6,31,3,m ac; p be
Oregon,Coos Bay,43.329,124.375,,7,,,,,T6,0.9,0.6,31,3,slpm ac; p be
Oregon,Coos Bay,43.329,124.375,,8,,,,,T6a,0.7,0.5,31,3,slpm ac; pm be (via - 20 cm detritus)
Oregon,Coos Bay,43.329,124.375,,9,,,,,T7,0.55,0.45,31,3,pm ac; mp be
Oregon,Coos Bay,43.329,124.375,,10,,,,,T7a,0.5,0.4,31,3,mp ac; p be
Oregon,Coos Bay,43.329,124.375,,11,,,,,T8,0.5,0.5,31,3,slpm ac; pm be
Oregon,Coos Bay,43.329,124.375,,12,3819.5,241.5,3510,80,T8a,0.7,0.6,31,3,pm ac; p be (dated in peat 30 cm below contact)
Oregon,Coos Bay,43.329,124.373,401,1,,,,,T1,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.323,124.237,478,1,1645,230,1740,100,T5,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.315,124.308,408,1,611.5,86.5,650,70,T2,1.1,0.5,"22,31",3,m ac; mp be
Oregon,Coos Bay,43.315,124.308,,2,2433,279,2350,90,T6,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.315,124.308,,3,2910,166,2760,80,T7,0.55,0.45,31,3,m ac; pm be
Oregon,Coos Bay,43.315,124.308,,4,,,,,T7a,0.55,0.45,31,3,m ac; pm be
Oregon,Coos Bay,43.315,124.308,,5,,,,,T8,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.315,124.308,,6,3989.5,425.5,3620,160,T8a,0.55,0.45,31,3,m ac; pm be
Oregon,Coos Bay,43.315,124.31,409,1,,,,,T2,1.1,0.5,31,3,m ac; mp be
Oregon,Coos Bay,43.314,124.31,Day Creek,1,142,142,140,50,T1,0.55,0.45,"22,33",3,pm ac; mp be
Oregon,Coos Bay,43.314,124.31,,2,611.5,86.5,650,70,T2,0.55,0.45,"22,33",3,m ac; pm be
Oregon,Coos Bay,43.314,124.31,,3,1418,111,1520,60,T4,0.55,0.45,"22,33",3,m ac; pm be
Oregon,Coos Bay,43.314,124.31,,4,1897.5,161.5,1960,60,T5a,0.63,0.45,"22,33",3,m ac; pm be (via 8 cm sd)
Oregon,Coos Bay,43.314,124.31,,5,2433,279,2350,90,T6,0.46,0.4,"22,33",3,m ac; slpm be (via 6 cm sd)
Oregon,Coos Bay,43.314,124.31,,6,2910,166,2760,80,T7,0.55,0.45,"22,33",3,m ac; pm be
Oregon,Coos Bay,43.292,124.325,S. Slough 5,1,,,,,T1,0.2,0.5,10,3,rm ac; slpm be
Oregon,Coos Bay,43.288,124.3,,2,,,,,T4,1.1,0.5,34,3,m ac; mp be
Oregon,Coos Bay,43.288,124.3,,2,1195.5,114.5,1308,55,T4,1.15,0.55,34,3,m ac; p/mp be
Oregon,Coos Bay,43.288,124.3,,3,1673.5,137.5,1736,48,T5,1.1,0.5,34,3,m ac; mp be
Oregon,Coos Bay,43.288,124.3,,4,2545,179,2487,35,T6,0.9,0.6,34,3,rm ac; p be
Oregon,Coos Bay,43.288,124.3,,5,2875.5,129.5,2750,66,T7,0.9,0.6,34,3,rm ac; p be
Oregon,Coos Bay,43.288,124.3,,3,,,,,T4,0.55,0.45,34,3,pm ac; mp be
Oregon,Coos Bay,43.288,124.3,,4,,,,,T5,0.8,0.5,34,3,rm ac; mp be
Oregon,Coos Bay,43.288,124.3,,3,,,,,T4,1.1,0.5,34,3,m ac; mp be
Oregon,Coos Bay,43.288,124.3,,4,,,,,T5,1.1,0.5,34,3,m ac; mp be
Oregon,Coos Bay,43.288,124.3,Talbot Cr. 2,1,,,,,T4,0.55,0.45,34,3,m ac; pm be
Oregon,Coos Bay,43.279,124.316,WC-22,1,,,,,T1,0.8,0.5,35,3,rm ac; mp be
Oregon,Coos Bay,43.279,124.316,WC-14,1,,,,,T1,0.8,0.5,"32,35",3,rm ac; mp be
Oregon,Coos Bay,43.279,124.316,,6,,,,,T5a,1.2,0.6,"32,35",3,m ac; p be
Oregon,Coos Bay,43.279,124.316,,7,,,,,T6,0.9,0.6,"32,35",3,rm ac; p be
Oregon,Coos Bay,43.279,124.316,,8,,,,,T6a,1.2,0.6,"32,35",3,m ac; p be
Oregon,Coos Bay,43.279,124.316,WC-12,1,265,265,338,83,T1,0.7,0.4,"32,35",1,"m, llm forams and diatoms ac; mp, hm forams and diatoms be"
Oregon,Coos Bay,43.279,124.316,,2,982,187,1054,73,T3,0.85,0.75,35,1,"m, Im diatoms ac; mp, hm diatoms be"
Oregon,Coos Bay,43.279,124.316,,3,1136,199,1240,110,T4,0.65,0.55,35,1,"m/rm, Im diatoms ac; mp, Im/hm diatoms ac"
Oregon,Coos Bay,43.279,124.316,,4,1670,143,1728,57,T5,0.85,0.75,35,1,"m, Im forams and diatoms ac; mp, hm forams and diatoms be"
Oregon,Coos Bay,43.279,124.316,,5,2718.5,253.5,2650,90,T5a,0.95,0.85,35,1,"m, Im forams and diatoms ac; p, hm diatoms, Im forams be"
Oregon,Coos Bay,43.279,124.316,,6,2517.5,176.5,2395,36,T6,0.65,0.55,35,1,"rm, Im diatoms ac; mp, hm diatoms be"
Oregon,Coos Bay,43.279,124.316,,7,3096.5,226.5,2922,76,T6a,0.85,0.75,35,1,"rm, tf forams, Im diatoms ac; p, hm forams and diatoms be"
Oregon,Coos Bay,43.279,124.316,,8,2859,110,2744,59,T7,0.85,0.75,35,1,"m, Im diatoms ac; mp, hm diatoms be"
Oregon,Coos Bay,43.279,124.316,,10,3857.5,225.5,3540,81,T8a,0.85,0.75,35,2,"m, hm diatoms ac; mp, hm diatoms be"
Oregon,Coos Bay,43.279,124.316,,11,4632.5,195.5,4101,73,T10,1.1,0.5,35,3,m ac; mp be
Oregon,Coos Bay,43.279,124.316,WC-21,1,,,,,T1,0.5,0.5,"32,35",3,rm ac; pm be
Oregon,Coos Bay,43.279,124.316,,2,,,,,T3,0.55,0.45,"32,35",3,m ac; pm be
Oregon,Coos Bay,43.279,124.316,,3,,,,,T5,1.1,0.5,"32,35",3,m ac; mp be
Oregon,Coos Bay,43.279,124.316,,4,,,,,T5a,0.4,0.4,"32,35",3,m ac; rm be
Oregon,Coos Bay,43.279,124.316,,5,,,,,T6,0.4,0.4,"32,35",3,m ac; rm be
Oregon,Coos Bay,43.279,124.316,,6,,,,,T6a,1.1,0.5,"32,35",3,m ac; mp be
Oregon,Coos Bay,43.279,124.316,,7,,,,,T7,0.55,0.45,"32,35",3,m ac; pm be
Oregon,Coos Bay,43.279,124.316,WC-20,1,,,,,T1,0.8,0.5,"32,35",3,rm ac; mp be
Oregon,Coos Bay,43.279,124.316,,2,,,,,T3,0.4,0.4,"32,35",3,m ac; rm be
Oregon,Coos Bay,43.279,124.316,,3,,,,,T4,0.8,0.5,"32,35",3,rm ac; mp be
Oregon,Coos Bay,43.279,124.316,,4,,,,,T5,1.1,0.5,"32,35",3,m ac; mp be
Oregon,Coos Bay,43.279,124.316,,6,,,,,T6a,0.8,0.5,"32,35",3,rm ac; mp be
Oregon,Coos Bay,43.279,124.316,,7,,,,,T7,0.5,0.5,"32,35",3,rm ac; pm be
Oregon,Coos Bay,43.279,124.316,WC-13,1,,,,,T1,1.1,0.5,35,3,m ac; mp be
Oregon,Coos Bay,43.279,124.316,,2,,,,,T3,0.7,0.6,35,3,pm ac; p be
Oregon,Coos Bay,43.279,124.316,,3,,,,,T4,1.1,0.5,35,3,m ac; mp be
Oregon,Coos Bay,43.279,124.316,,8,,,,,T6a,1.2,0.6,35,3,m ac; p be
Oregon,Coos Bay,43.279,124.316,,9,,,,,T7,1.2,0.6,35,3,m ac; p be
Oregon,Coquille River,43.195,124.282,Sevenmile Cr.,2,1259,87,1340,50,T4,1.35,0.95,36,1,sand flat diatoms ac; hm diatoms be (Ages compiled from 3 localities)
Oregon,Coquille River,43.195,124.282,,3,1619.5,83.5,1705,37,T5,2,1,36,1,sand flat diatoms ac; upland diatoms be
Oregon,Coquille River,43.195,124.282,,4,2291,142,2290,50,T5b,1.15,1.15,36,1,Im/mud flat diatoms ac; hm diatoms be
Oregon,Coquille River,43.195,124.282,,5,3087.5,113.5,2922,25,T7,1.45,1.05,36,1,mud flat diatoms ac; upland/hm diatoms be
Oregon,Coquille River,43.195,124.282,,6,3481,76,3252,22,T7a,1.35,0.95,36,1,sand flat diatoms ac; hm diatoms be
Oregon,Coquille River,43.195,124.282,,7,3984.5,105.5,3660,36,T8a,1.35,0.95,36,1,mud flat diatoms ac; hm diatoms be
Oregon,Coquille River,43.195,124.282,,8,4601.5,179.5,4038,31,T9a,1.15,1.15,36,1,sand flat diatoms ac; hm/lm diatoms be
Oregon,Coquille River,43.195,124.282,,9,,,,,T10,0.55,0.45,36,3,m ac; pm be
Oregon,Coquille River,43.195,124.282,,10,5166.5,122.5,4491,24,T10R1,1.35,0.95,36,1,sand flat diatoms ac; hm diatoms be
Oregon,Coquille River,43.195,124.282,,11,6259,53,5468,32,T11,0.8,0.8,36,1,mud flat diatoms ac; Im diatoms be
Oregon,Coquille River,43.195,124.282,,12,6604.5,110.5,5800,37,T12,0.6,0.6,36,1,mud flat diatoms ac; llm diatoms be
Oregon,Coquille River,43.168,124.34,511,1,,,,,T1,0.5,0.5,10,3,rm ac; pm be
Oregon,Coquille River,43.163,124.36,opp. Rocky Pt.,1,145,145,192,17,T1,1.15,0.75,"32,37,38",3,"Im/intertidal m/pm ac; Spruce, p be"
Oregon,Coquille River,43.149,124.392,Osprey,1,149,149,170,50,T1,1.05,0.75,37,3,m/pm ac; p be
Oregon,Coquille River,43.142,124.397,Bandon,1,,,,,T1,1.05,0.75,37,3,m/pm ac; p be
Oregon,Coquille River,43.142,124.403,Bandon-501,1,,,,,T1,0.7,0.6,39,3,pm ac; p be
Oregon,Coquille River,43.142,124.403,Bandon-508,1,,,,,T1,1.05,0.75,"10,39",3,"m/pm ac; Spruce, p be"
Oregon,Coquille River,43.13,124.408,510,1,,,,,T1,0.5,0.5,39,3,slpm ac; pm be
Oregon,Coquille River,43.13,124.408,509,1,,,,,T1,0.8,0.5,39,3,slpm ac; mp be
Oregon,Coquille River,43.094,124.42,Johnson C 605,1,,,,,T1,0.5,0.5,39,3,slpm ac; pm be
Oregon,Coquille River,43.094,124.42,Johnson C 607,1,,,,,T1,0.55,0.45,39,3,m ac; pm be
Oregon,Coquille River,43.093,124.431,Johnson C 602,1,,,,,T1,1.2,0.6,39,3,m ac; p be
Oregon,Coquille River,43.092,124.426,Johnson C 601,1,,,,,T1,0.4,0.4,39,3,m ac; slpm be
Oregon,Coquille River,43.092,124.426,Johnson C 606,1,,,,,T1,0.5,0.5,39,3,slpm ac; pm be
Oregon,Sixes River,42.85,124.538,Site Y,1,144,137,120,50,T1,1.5,1.1,40,1,"increased fresh-brackish marsh diatoms ac, flood-plain soil be"
Oregon,Sixes River,42.85,124.538,Core V,3,2036,88,2068,32,T5a,0.95,0.7,41,1,pm/m ac; p be (avg. of multiple cores)
Oregon,Sixes River,42.85,124.538,"Core AA, BB",5,2602.5,132.5,2505,31,T6,1,0.7,41,1,diatoms > 0.5m. m ac; p/pm be (avg. of multiple cores)
Oregon,Sixes River,42.85,124.538,Core J,6,3015.5,128.5,2883,33,T7,1.4,1,41,1,freshwater marsh diatoms ac; tideflat diatoms be
Oregon,Sixes River,42.85,124.538,Core J,7,3482,76,3254,22,T7a,1.4,1,41,1,freshwater marsh diatoms ac; tideflat diatoms be
Oregon,Sixes River,42.85,124.538,Core J,8,3755,115,3486,46,T8,0.7,0.7,41,1,low marsh diatoms ac; tideflat diatoms be
